localidad
COLONIA ANASAGASTI
COLONIA AGUIRRE
COLONIA CHICA
COLONIA ESPIGA DE ORO
COLONIA FERRARO
COLONIA GIUSTI
COLONIA LA PAZ
COLONIA LA PASTORIL
COLONIA LA ORACION
COLONIA LA MUTUA
COLONIA LA MARGARITA
COLONIA LA INDIA
COLONIA LA GAVIOTA
COLONIA LA ESPERANZA
COLONIA LA CHISPA
COLONIA LA CARLOTA
COLONIA LA AMARGA
COLONIA LA ABUNDANCIA
COLONIA HELVECIA
COLONIA GUIBURG N 2
COLONIA GOBERNADOR AYALA
COLONIA VILLA ALBA
LA CELIA
LA CASILDA
LA CELINA
LOTE 17 ESCUELA 121
LOTE 17
LOTE 15 ESCUELA 18
LOTE 15
LOTE 14
LOTE 13 ESCUELA 173
LOTE 17 ESCUELA 95
LOTE 13
LOTE 12
LOTE 12
LOTE 11 ESCUELA 107
LOTE 11 BERNASCONI
LOTE 11
LOTE 10
LOTE 12
LOS TURCOS
LOTE 18
LOTE 18 ESCUELA 158
LOTE 23 ESCUELA 264
LOTE 23 ESCUELA 221
LOTE 23
LOTE 22 IPIÑA
LOTE 22
LOTE 22
LOTE 18
LOTE 21 COLONIA SANTA ELENA
LOTE 20 LA CARLOTA
LOTE 20
LOTE 2 LA ELINA
LOTE 2 ESCUELA 185
LOTE 19  COLONIA N LEVEN
LOTE 19
LOTE 21
LOTE 24
LOS TRES POZOS
LOS TAJAMARES
LEGASA
LAS TRES HERMANAS
LAS QUINTAS
LAS PIEDRITAS
LAS MALVINAS
LAS GAVIOTAS
LEONA REDONDA
LAS FELICITAS
LAS DELICIAS
LA CELINA
LAS CHACRAS
LAS ACACIAS
LAGUNA QUIROGA
LABAL
LAS DOS NACIONES
LOS TOROS
LIHUE CALEL
LINDO VER
LOS QUINIENTOS
LOS PIRINEOS
LOS OLIVOS
LOS NOGALES
LOS MORROS
LOS MANANTIALES
LIMAY MAHUIDA
LOS DOS HERMANOS
LOS ALAMOS
LOO CO
LONQUIMAY
LOMAS OMBU
LOMAS DE GATICA
LOMA REDONDA
LOS ALGARROBOS
LA ZOTA
LOTE 24 SECCION 1A
LOTE 25 ESCUELA 146
OJO DE AGUA
OJEDA
OFICIAL E SEGURA
NICOLAS VERA
NERRE CO
NARCISO LEVEN
PARERA
NANQUEL HUITRE
NAHUEL NAPA
MONTE RALO
MONTE NIEVAS
MOCOVI
MINISTRO ORLANDO
MINERALES DE LA PAMPA
NAICO
MINAS DE SAL
PARQUE LURO
PASO DE LOS PUNTANOS
PUELEN
PUELCHES
PUEBLO QUINTANA
PUEBLO ALASSA
POITAGUE
PICHI MERICO
PASO DE LOS ALGARROBOS
PICHI MAHUIDA
PICHI HUILCO
PICHE CONA LAUQUEN
PERU
PAVON
PASO LA RAZON
PASO LA BALSA
PICHI HUINCA
LOTE 25 CONHELO
MIGUEL RIGLOS
METILEO
LOTE 8 ESCUELA 184
LOTE 8 ESCUELA 179
LOTE 8  ESCUELA 179
LOTE 8
LOTE 8
LOTE 7 ESCUELA 270
LOTE 9 ESCUELA 140
LOTE 7
LOTE 6
LOTE 5 LUAN TORO
LOTE 5 CALEUFU  ESC 120
LOTE 4
LOTE 3
LOTE 25 ESCUELA 178
LOTE 6 ESCUELA 171
MIGUEL CANE
LOVENTUEL
LUNA
MEDANOS NEGROS
MEDANO COLORADO
MEDANO BLANCO
MAYACO
MAURICIO MAYER
MARIANO MIRO
LUAN TORO
MARIA
MARACO CHICO
MARACO
MANANTIALES
MALVINAS ARGENTINAS
MAISONNAVE
MACACHIN
MARI MARI
LA VOLUNTAD
LAS DELICIAS
LA VICTORIA
LA HUMADA
LA GUEÑITA
LA GUADALOSA
LA GLORIA
LA GAVIOTA
LA GAVENITA
LA IMARRA
LA FORTUNA
LA FLORENCIA
LA FE
LA EULOGIA
LA ESTRELLA DEL SUD
LA ESTRELLA
LA ESTHER
LA FLORIDA
LA ESPERANZA VERTIZ
LA INVERNADA
LA ISABEL
LA MAGDALENA
LA LUZ
LA LUISA
LA LUCHA LA REFORMA
LA VIOLETA
LA LONJA
LA ISABEL
LA LIMPIA
LA LAURENTINA
LA JUANITA
LA JUANITA
LA JUANITA
LA JOSEFINA
LA JAPONESA
LA LEÑA
LA MAGDALENA
LA ESPERANZA MACACHIN
LA ESPERANZA ANGUIL
LA CUMBRE
LA COPELINA
LA CONSTANCIA  ANGUIL
LA CONSTANCIA
LA CONSTANCIA
LA COLORADA GRANDE
LA DELFINA
LA COLORADA CHICA
LA CIENAGA
LA CHITA PUELCHES
LA CHITA
LA CHIRLANDIA
LA CHAPELLE
LA CELMIRA
LA CLELIA
LA ESPERANZA HIDALGO
LA DELICIA
LA ELENITA
LA ESPERANZA
LA ESPERANZA
LA ESMERALDA MACACHIN
LA ESMERALDA
LA ESMERALDA
LA ESCONDIDA
LA DOLORES
LA ENRIQUETA
LA ELVIRA
LA ELVA
LA ELSA
LA ELINA
LA ELINA
LA ELIA
LA ENERGIA
LA MALVINA
LA LUCHA
LA MARCELA
LA SEGUNDA
LA SARITA
LA ROSA
LA RESERVA IVANOWSKY
LA RESERVA ANGUIL
LA REFORMA VIEJA
LA SIN NOMBRE
LA REFORMA
LA RAZON SANTA ISABEL
LA MANUELITA
LA PUÑALADA
LA PUNA
LA PUMA
LA PUMA
LA REBECA
LA SOLEDAD
LA SORPRESA
LA SUERTE
LA VICTORIA
LA VICTORIA
LA VERDE ANGUIL
LA VERDE
LA VERDE
LA VEINTITRES
LA VANGUARDIA
LA UNION
LA UNION
LA UNIDA
LA TRINIDAD
LA TOSCA
LA TORERA
LA TINAJERA
LA TERESITA
LA PRIMERA
LA PRIMAVERA SANTA ROSA
LA RAZON
LA PRIMAVERA CHAMAICO
LA NUEVA
LA NILDA
LA MOROCHA
LA MODERNA
LA PRIMAVERA MIGUEL RIGLOS
LA MARUJA
LA NUEVA PROVINCIA
LA MARIANITA
LA MARIA ROSA
LA MARIA ELISA
LA MARIA ELENA
LA MARIA
LA MARIA
LA MARGARITA
LA MARIA VERTIZ
LA OLLA
LA MATILDE
LA PALOMA
LA ORACION
LA PRADERA
LA PORTEÑA
LA POMONA
LA PIEDAD
LA PERLITA
LA PERLA
LA PRIMAVERA
LA PAZ
LA PAULINA
LA PASTORIL
LA PAMPITA HIDALGO
LA PAMPITA
LA PAMPEANA
LA PENCOSA
